Session: untitled,,,,,,,
Training Data: adult_all_3_generalized_True    Observations: 10000,,,,,,,
"Predictors: 4    Predictor Names: age, educational_num, gender, income",,,,,,,
"Response Name: occupation    Response Classes: 14    Response Class Names: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",,,,,,,
Validation: 5-fold cross-validation,,,,,,,
Test Data: adult_test    Observations: 36053,,,,,,,
,,,,,,,
,,,,,,,
Favorite,Model Number,Model Type,Status,Accuracy % (Validation),Total Cost (Validation),Accuracy % (Test),Total Cost (Test)
0,2.1,Tree,Tested,22.09,7791,29.2458325243392,25509
0,2.2,Tree,Tested,25.2,7480,31.3704823454359,24743
0,2.3,Tree,Tested,24.05,7595,28.3776662136299,25822
0,2.4,KNN,Tested,11.02,8898,22.525171275622,27932
0,2.5,KNN,Tested,17.93,8207,26.9436662691038,26339
0,2.6,KNN,Tested,23.96,7604,31.1014339999445,24840
0,2.7,KNN,Tested,17.85,8215,27.0351981804566,26306
0,2.8,KNN,Tested,17.96,8204,27.0296507918897,26308
0,2.9,KNN,Tested,12.95,8705,26.7106759492969,26423
0,2.10,Efficient Logistic Regression,Tested,25.31,7469,30.5772057803789,25029
0,2.11,Efficient Linear SVM,Tested,25.05,7495,30.0751671150806,25210
